ArtistName,ArtistUniqueID ,ArtistNationality,ArtistGender,ArtistRace,ArtistEthnicity,TitleofWork,EditionNumber,YearofPublication,PartinText,ChapterTitle,StartDateofWork,EndDateofWork,Circa,Medium,HeightofActualWork(in),HeightofActualWork(cm),WidthofActualWork(in),WidthofActualWork(cm),HeightofWorkinJanson(in inches),HeightofWorkinJanson(cm),WidthofWorkinJanson(in),WidthofWorkinJanson(cm),LengthofText(in),LengthofText(cm),WidthofText(in),WidthofText(cm),AreaActualWork(cm^2),AreaWorkinJanson(cm^2),AreaTextinJanson(cm^2),AreaRatioWork/Figure,WorkinTextinColor,LocationasCataloguedinJanson,,,,,
Albert Bierstadt,5,German-American,Male,White,Not Hispanic or Latinx,"The Rocky Mountains, Lander's Peak",7,2007,4,"The Age of Positivism: Realism, Impressionism, and the Pre-Raphealites",1863,1863,0,Oil on canvas,73.25,186.055,120.75,306.705,3.25,8.255,5,12.7,10,25.4,3.5,8.89,57063.99878,104.8385,225.806,544.3038462,1,"The Metropolitan Museum of Art, New York, NY, US",,,,,
Albert Pinkham Ryder,6,American,Male,White,Not Hispanic or Latinx,Siegfried and the Rhine Maidens,7,2007,4,"Progress and Its Discontents: Post-Impressionism, Symbolism, and Art Nouveau",1888,1891,0,Oil on canvas,19.875,50.4825,20.5,52.07,3.375,8.5725,3.5,8.89,4,10.16,3.5,8.89,2628.623775,76.209525,90.3224,34.49206349,1,"National Gallery of Art, Washington, DC, US",,,,,
Albert Pinkham Ryder,6,American,Male,White,Not Hispanic or Latinx,Siegfried and the Rhine Maidens,8,2011,4,"Progress and Its Discontents: Post-Impressionism, Symbolism, and Art Nouveau",1888,1891,0,Oil on canvas,19.875,50.4825,20.5,52.07,3.375,8.5725,3.5,8.89,4.875,12.3825,3.5,8.89,2628.623775,76.209525,110.080425,34.49206349,1,"National Gallery of Art, Washington, DC, US",,,,,
Albert Renger-Patzsch,7,German,Male,White,Not Hispanic or Latinx,Potter's Hands,3,1986,4,Twentieth-Century Photography,1925,1925,0,Gelatin-silver print,11.75,29.845,15.125,38.4175,2.5,6.35,3.25,8.255,1,2.54,3.5,8.89,1146.570288,52.41925,22.5806,21.87307692,0,"The Museum of Modern Art, New York, NY, US",,,,,
Albert Renger-Patzsch,7,German,Male,White,Not Hispanic or Latinx,Potter's Hands,4,1991,4,Twentieth-Century Photography,1925,1925,0,Gelatin-silver print,15.125,38.4175,11.75,29.845,2.375,6.0325,3.25,8.255,1,2.54,3.5,8.89,1146.570288,49.7982875,22.5806,23.0242915,0,"The Museum of Modern Art, New York, NY, US",,,,,
Albert Renger-Patzsch,7,German,Male,White,Not Hispanic or Latinx,Potter's Hands,5,1995,4,Twentieth-Century Photography,1925,1925,0,Gelatin-silver print,11.75,29.845,15.125,38.4175,2.375,6.0325,3.25,8.255,1,2.54,3.5,8.89,1146.570288,49.7982875,22.5806,23.0242915,0,"The Museum of Modern Art, New York, NY, US",,,,,
Albert Renger-Patzsch,7,German,Male,White,Not Hispanic or Latinx,Potter's Hands,6,2001,4,Twentieth-Century Photography,1925,1925,0,Gelatin-silver print,11.75,29.845,15.125,38.4175,2.375,6.0325,3.25,8.255,1,2.54,3.5,8.89,1146.570288,49.7982875,22.5806,23.0242915,0,"The Museum of Modern Art, New York, NY, US",,,,,
Alexander Cozens,8,British,Male,White,Not Hispanic or Latinx,"Landscape, from A New Method of Assisting the Invention in Drawing Original Compositions of Landscape",2,1977,4,Neoclassicism and Romanticism,1784,1786,0,Aquatint,15,38.1,10.25,26.035,3,7.62,4,10.16,6.75,17.145,3.25,8.255,991.9335,77.4192,141.531975,12.8125,0,"The Metropolitan Museum of Art, New York, NY, US",,,,,
Alexander Cozens,8,British,Male,White,Not Hispanic or Latinx,"Landscape, from A New Method of Assisting the Invention in Drawing Original Compositions of Landscape",3,1986,4,Neoclassicism and Romanticism,1784,1786,0,Aquatint,15,38.1,10.25,26.035,2.625,6.6675,3.5,8.89,6.5,16.51,3.5,8.89,991.9335,59.274075,146.7739,16.73469388,0,"The Metropolitan Museum of Art, New York, NY, US",,,,,
Alexander Cozens,8,British,Male,White,Not Hispanic or Latinx,"Landscape, from A New Method of Assisting the Invention in Drawing Original Compositions of Landscape",4,1991,4,Neoclassicism and Romanticism,1784,1786,0,Aquatint,,,,,2.625,6.6675,3.5,8.89,9,22.86,3.5,8.89,0,59.274075,203.2254,0,0,"The Metropolitan Museum of Art, New York, NY, US",,,,,
Alexander Cozens,8,British,Male,White,Not Hispanic or Latinx,"Landscape, from A New Method of Assisting the Invention in Drawing Original Compositions of Landscape",5,1995,4,Neoclassicism and Romanticism,1784,1786,0,Aquatint,,,,,2.625,6.6675,3.5,8.89,5.75,14.605,3.5,8.89,0,59.274075,129.83845,0,1,"The Metropolitan Museum of Art, New York, NY, US",,,,,
Alexander Cozens,8,British,Male,White,Not Hispanic or Latinx,"Landscape, from A New Method of Assisting the Invention in Drawing Original Compositions of Landscape",6,2001,4,Neoclassicism and Romanticism,1784,1786,0,Aquatint,,,,,2.625,6.6675,3.375,8.5725,5.75,14.605,3.5,8.89,0,57.15714375,129.83845,0,0,"The Metropolitan Museum of Art, New York, NY, US",,,,,
Alexander Gardner,9,Scottish,Male,White,Not Hispanic or Latinx,"Home of a Rebel Sharpshooter, Gettysburg",3,1986,4,Neoclassicism and Romanticism,1863,1863,0,Wet-plate photograph,,,,,3.625,9.2075,4.625,11.7475,2.25,5.715,3.5,8.89,0,108.1651063,50.80635,0,0,"Chicago Historical Society, Chicago, IL, US",,,,,
Alexander Gardner,9,Scottish,Male,White,Not Hispanic or Latinx,"Home of a Rebel Sharpshooter, Gettysburg",4,1991,4,Neoclassicism and Romanticism,1863,1863,0,Wet-plate photograph,,,,,3.5,8.89,4.625,11.7475,2.5,6.35,3.5,8.89,0,104.435275,56.4515,0,0,"Chicago Historical Society, Chicago, IL, US",,,,,
Alexander Gardner,9,Scottish,Male,White,Not Hispanic or Latinx,"Home of a Rebel Sharpshooter, Gettysburg",5,1995,4,Neoclassicism and Romanticism,1863,1863,0,Wet-plate photograph,,,,,3.5,8.89,4.5,11.43,2.75,6.985,3.5,8.89,0,101.6127,62.09665,0,0,"Chicago Historical Society, Chicago, IL, US",,,,,
Alexander Gardner,9,Scottish,Male,White,Not Hispanic or Latinx,"Home of a Rebel Sharpshooter, Gettysburg",6,2001,4,Neoclassicism and Romanticism,1863,1863,0,Wet-plate photograph,,,,,2.625,6.6675,3.5,8.89,2.5,6.35,3.5,8.89,0,59.274075,56.4515,0,0,"Chicago Historical Society, Chicago, US",,,,,
Alexander Rodchenko,10,Russian,Male,White,Not Hispanic or Latinx,"Advertisement: ""Books!""",7,2007,4,Art Between the Wars,1925,1925,0,N/A,,,,,2.75,6.985,3.75,9.525,2.5,6.35,3.5,8.89,0,66.532125,56.4515,0,1,"Rodchenko Archive, Moscow, Russia",,,,,
Alexander Rodchenko,10,Russian,Male,White,Not Hispanic or Latinx,"Advertisement: ""Books!""",8,2011,4,Art Between the Wars,1925,1925,0,N/A,,,,,2.75,6.985,3.875,9.8425,2.5,6.35,3.5,8.89,0,68.7498625,56.4515,0,1,"Rodchenko Archive, Moscow, Russia",,,,,
Alfred Stieglitz,11,American,Male,White,Not Hispanic or Latinx,Equivalents,3,1986,4,Twentieth-Century Photography,1930,1930,0,Chloride print,,,,,2.75,6.985,3.5,8.89,2.25,5.715,3.5,8.89,0,62.09665,50.80635,0,0,"The Art Institute of Chicago, Chicago, IL, US",,,,,
Alfred Stieglitz,11,American,Male,White,Not Hispanic or Latinx,The Steerage,3,1986,4,Twentieth-Century Photography,1907,1907,0,Photograph,,,,,5.25,13.335,4.5,11.43,7,17.78,3.5,8.89,0,152.41905,158.0642,0,0,"The Art Institute of Chicago, Chicago, IL, US",,,,,
Alfred Stieglitz,11,American,Male,White,Not Hispanic or Latinx,Equivalents,4,1991,4,Twentieth-Century Photography,1930,1930,0,Chloride print,,,,,2.75,6.985,3.5,8.89,3,7.62,3.5,8.89,0,62.09665,67.7418,0,0,"The Art Institute of Chicago, Chicago, IL, US",,,,,
Alfred Stieglitz,11,American,Male,White,Not Hispanic or Latinx,The Steerage,4,1991,4,Twentieth-Century Photography,1907,1907,0,Photograph,,,,,5.25,13.335,4.5,11.43,6,15.24,3.5,8.89,0,152.41905,135.4836,0,0,"The Art Institute of Chicago, Chicago, IL, US",,,,,
Alfred Stieglitz,11,American,Male,White,Not Hispanic or Latinx,Equivalents,5,1995,4,Twentieth-Century Photography,1930,1930,0,Chloride print,,,,,2.75,6.985,3.375,8.5725,1.875,4.7625,3.5,8.89,0,59.8789125,42.338625,0,0,"The Art Institute of Chicago, Chicago, IL, US",,,,,
Alfred Stieglitz,11,American,Male,White,Not Hispanic or Latinx,The Steerage,5,1995,4,Twentieth-Century Photography,1907,1907,0,Photograph,,,,,5.25,13.335,4.375,11.1125,7.25,18.415,3.5,8.89,0,148.1851875,163.70935,0,0,"The Art Institute of Chicago, Chicago, IL, US",,,,,
Alfred Stieglitz,11,American,Male,White,Not Hispanic or Latinx,Equivalents,6,2001,4,Twentieth-Century Photography,1930,1930,0,Chloride print,,,,,4.375,11.1125,5.5,13.97,1.5,3.81,3.5,8.89,0,155.241625,33.8709,0,0,"The Art Institute of Chicago, Chicago, IL, US",,,,,
Alfred Stieglitz,11,American,Male,White,Not Hispanic or Latinx,The Steerage,6,2001,4,Twentieth-Century Photography,1907,1907,0,Chloride print,4.375,11.1125,3.625,9.2075,5.25,13.335,4.375,11.1125,7.25,18.415,3.5,8.89,102.3183438,148.1851875,163.70935,0.6904761905,0,"The Art Institute of Chicago, Chicago, IL, US",,,,,
Alfred Stieglitz,11,American,Male,White,Not Hispanic or Latinx,Equivalents,7,2007,4,Art Between the Wars,1926,1926,0,Gelatin-silver print,4.75,12.065,3.75,9.525,4.5,11.43,5.625,14.2875,3.125,7.9375,3.5,8.89,114.919125,163.306125,70.564375,0.7037037037,0,"National Gallery of Art, Washington, DC, US",,,,, 
Alfred Stieglitz,11,American,Male,White,Not Hispanic or Latinx,The City of Ambition,7,2007,4,"Progress and Its Discontents: Post-Impressionism, Symbolism, and Art Nouveau",1910,1910,0,Photogravure on Japanese tissue mounted on paperboard,13.375,33.9725,10.25,26.035,5.125,13.0175,3.75,9.525,4.75,12.065,3.5,8.89,884.4740375,123.9916875,107.25785,7.133333333,1,"The Metropolitan Museum of Art, New York, NY, US",,,,,
Alfred Stieglitz,11,American,Male,White,Not Hispanic or Latinx,The City of Ambition,8,2011,4,"Progress and Its Discontents: Post-Impressionism, Symbolism, and Art Nouveau",1910,1910,0,Photogravure on Japanese tissue mounted on paperboard,13.375,33.9725,10.25,26.035,5.125,13.0175,3.75,9.525,4.25,10.795,3.5,8.89,884.4740375,123.9916875,95.96755,7.133333333,0,"The Metropolitan Museum of Art, New York, NY, US",,,,,
Ando Hiroshige,12,Japanese,Male,Asian,Not Hispanic or Latinx,"Plum Estate, Kameido, from the series, One Hundred Famous Views of Edo",7,2007,4,"The Age of Positivism: Realism, Impressionism, and the Pre-Raphealites",1857,1857,0,Woodblock print,13.375,33.9725,8.56,21.7424,4.5,11.43,3,7.62,5,12.7,3.5,8.89,738.643684,87.0966,112.903,8.480740741,1,"Brooklyn Museum of Art, New York, NY, US",,,,,
Ando Hiroshige,12,Japanese,Male,Asian,Not Hispanic or Latinx,"Plum Estate, Kameido, from the series, One Hundred Famous Views of Edo",8,2011,4,"The Age of Positivism: Realism, Impressionism, and the Pre-Raphealites",1857,1857,0,Woodblock print,13.375,33.9725,8.55,21.717,5,12.7,3.375,8.5725,3.75,9.525,3.5,8.89,737.7807825,108.87075,84.67725,6.776666667,1,"Brooklyn Museum of Art, New York, NY, US",,,,,
André Derain,13,French,Male,White,Not Hispanic or Latinx,Mountains at Collioure,7,2007,4,Towards Abstraction: The Modernist Revolution,1905,1905,0,Oil on canvas,32,81.28,39.5,100.33,3.875,9.8425,4.75,12.065,3.75,9.525,3.5,8.89,8154.8224,118.7497625,84.67725,68.67232598,1,"National Gallery of Art, Washington, DC, US",,,,,
André Derain,14,French,Male,White,Not Hispanic or Latinx,Mountains at Collioure,8,2011,4,Towards Abstraction: The Modernist Revolution,1905,1905,0,Oil on canvas,32,81.28,39.5,100.33,4.125,10.4775,5.125,13.0175,3.75,9.525,3.5,8.89,8154.8224,136.3908563,84.67725,59.79009608,1,"National Gallery of Art, Washington, DC, US",,,,,
André Kertész,14,Hungarian ,Male,White,Not Hispanic or Latinx,Blind Musician,3,1986,4,Twentieth-Century Photography,1921,1921,0,Gelatin-silver print,16.375,41.5925,13.25,33.655,3.625,9.2075,3,7.62,1.5,3.81,3.5,8.89,1399.795588,70.16115,33.8709,19.95114943,0,"The Museum of Modern Art, New York, NY, US",,,,,
André Kertész,14,Hungarian,Male,White,Not Hispanic or Latinx,Blind Musician,4,1991,4,Twentieth-Century Photography,1921,1921,0,Gelatin-silver print,16.375,41.5925,13.25,33.655,3.625,9.2075,2.875,7.3025,1.5,3.81,3.5,8.89,1399.795588,67.23776875,33.8709,20.8185907,0,"The Museum of Modern Art, New York, NY, US",,,,,
André Kertész,14,Hungarian,Male,White,Not Hispanic or Latinx,Blind Musician,5,1995,4,Twentieth-Century Photography,1921,1921,0,Gelatin-silver print,16.375,41.5925,13.25,33.655,3.5,8.89,2.875,7.3025,1.25,3.175,3.5,8.89,1399.795588,64.919225,28.22575,21.5621118,0,"The Museum of Modern Art, New York, NY, US",,,,,
André Kertész,14,Hungarian,Male,White,Not Hispanic or Latinx,Blind Musician,6,2001,4,Twentieth-Century Photography,1921,1921,0,Gelatin-silver print,16.375,41.5925,13.25,33.655,4.25,10.795,3.375,8.5725,1.5,3.81,3.5,8.89,1399.795588,92.5401375,33.8709,15.12636166,0,"The Museum of Modern Art, New York, NY, US",,,,,
André Masson,14,French,Male,White,Not Hispanic or Latinx,Battle of Fishes,7,2007,4,Art Between the Wars,1926,1926,0,"Sand, gesso, oil, pencil, and charcoal on canvas",14.25,36.195,28.75,73.025,3.25,8.255,6.375,16.1925,2,5.08,3.5,8.89,2643.139875,133.6690875,45.1612,19.77375566,1,"The Museum of Modern Art, New York, NY, US",,,,,
Andy Warhol,15,American,Male,White,Not Hispanic or Latinx,Gold Marilyn Monroe,4,1991,4,Twentieth-Century Painting  ,1962,1962,0,"Synthetic polymore paint, silkscreened, and oil on canvas",83.25,211.455,55,139.7,6,15.24,4,10.16,4,10.16,3.5,8.89,29540.2635,154.8384,90.3224,190.78125,1,"The Museum of Modern Art, New York, NY, US",,,,,
Andy Warhol,15,American,Male,White,Not Hispanic or Latinx,Gold Marilyn Monroe,5,1995,4,Twentieth-Century Painting  ,1962,1962,0,"Synthetic polymer paint, silkscreened, and oil on canvas",83.25,211.455,57,144.78,5.875,14.9225,4,10.16,3.75,9.525,3.5,8.89,30614.4549,151.6126,84.67725,201.9255319,1,"The Museum of Modern Art, New York, NY, US",,,,,
Andy Warhol,15,American,Male,White,Not Hispanic or Latinx,Gold Marilyn Monroe,6,2001,4,Twentieth-Century Painting  ,1962,1962,0,"Synthetic polymer paint, silk-screened, and oil on canvas",81.25,206.375,55,139.7,5.875,14.9225,4,10.16,3.5,8.89,3.5,8.89,28830.5875,151.6126,79.0321,190.1595745,1,"The Museum of Modern Art, New York, NY, US",,,,,
Andy Warhol,15,American,Male,White,Not Hispanic or Latinx,Gold Marilyn Monroe,7,2007,4,Postwar to Postmodern,1962,1962,0,"Synthetic polymer paint, silkscreen, and oil on canvas",83,210.82,55,139.7,5,12.7,3.5,8.89,10.75,27.305,3.5,8.89,29451.554,112.903,242.74145,260.8571429,1,"The Museum of Modern Art, New York, NY, US",,,,,
Andy Warhol,15,American,Male,White,Not Hispanic or Latinx,Campbell's Soup Cans,8,2011,4,Postwar to Postmodern,1961,1964,0,Acrylic on canvas,80,203.2,128,325.12,4,10.16,6.5,16.51,7.5,19.05,3.5,8.89,66064.384,167.7416,169.3545,393.8461538,1,"The Museum of Modern Art, New York, NY, US",,,,,
Angelica Kauffmann,16,Swiss,Female,White,Not Hispanic or Latinx,The Artist in the Character of Design Listening to the Inspiration of Poetry,4,1991,4,Neoclassicism and Romanticism,1782,1782,0,Oil on canvas,24,60.96,24,60.96,3.5,8.89,3.25,8.255,3.25,8.255,3.5,8.89,3716.1216,73.38695,73.38695,50.63736264,1,"The Iveagh Bequest, Kenwood, London, UK",,,,,
Angelica Kauffmann,16,Swiss,Female,White,Not Hispanic or Latinx,The Artist in the Character of Design Listening to the Inspiration of Poetry,5,1995,4,Neoclassicism and Romanticism,1782,1782,0,Oil on canvas,24,60.96,24,60.96,3.5,8.89,3.5,8.89,3.125,7.9375,3.5,8.89,3716.1216,79.0321,70.564375,47.02040816,1,"The Iveagh Bequest, Kenwood, London, UK",,,,,
Angelica Kauffmann,16,Swiss,Female,White,Not Hispanic or Latinx,The Artist in the Character of Design Listening to the Inspiration of Poetry,6,2001,4,Neoclassicism and Romanticism,1782,1782,0,Oil on canvas,24,60.96,24,60.96,3.5,8.89,3.5,8.89,3,7.62,3.5,8.89,3716.1216,79.0321,67.7418,47.02040816,1,"The Iveagh Bequest, Kenwood, London, UK",,,,,
Angelica Kauffmann,16,Swiss,Female,White,Not Hispanic or Latinx,Cornelia Presenting Her Children as Her Treasures (Mother of the Gracchi),7,2007,4,Art in the Age of the Enlightenment,1785,1785,1,Oil on canvas,40,101.6,50,127,4.5,11.43,5.625,14.2875,13,33.02,3.5,8.89,12903.2,163.306125,293.5478,79.01234568,1,"Virginia Museum of Fine Arts, Richmond, VA, US",,,,,
Angelica Kauffmann,16,Swiss,Female,White,Not Hispanic or Latinx,Cornelia Presenting Her Children as Her Treasures (Mother of the Gracchi),8,2011,4,Art in the Age of the Enlightenment,1785,1785,1,Oil on canvas,40,101.6,50,127,5.25,13.335,6.5,16.51,12,30.48,3.5,8.89,12903.2,220.16085,270.9672,58.60805861,1,"Virginia Museum of Fine Arts, Richmond, VA, US",,,,,
Anne Louis Girodet Trioson,17,French,Male,White,Not Hispanic or Latinx,The Funeral of Atala,5,1995,4,Neoclassicism and Romanticism,1808,1808,0,Oil on canvas,65.75,167.005,82.625,209.8675,4.625,11.7475,5.875,14.9225,5.5,13.97,3.5,8.89,35048.92184,175.3020688,124.1933,199.9344451,1,"The Louvre, Paris, France",,,,,
Anne Louis Girodet Trioson,17,French,Male,White,Not Hispanic or Latinx,The Funeral of Atala,6,2001,4,Neoclassicism and Romanticism,1808,1808,0,Oil on canvas,65.75,167.005,82.625,209.8675,4.75,12.065,5.875,14.9225,5.75,14.605,3.5,8.89,35048.92184,180.0399625,129.83845,194.6730123,1,"The Louvre, Paris, France",,,,,
Anne Louis Girodet Trioson,17,French,Male,White,Not Hispanic or Latinx,The Sleep of Endymion,7,2007,4,Art in the Age of the Romanticism,1791,1791,0,Oil on canvas,19.375,49.2125,24.5,62.23,3.75,9.525,5,12.7,9.25,23.495,3.5,8.89,3062.493875,120.9675,208.87055,25.31666667,1,"The Louvre, Paris, France",,,,,
Anne Louis Girodet Trioson,17,French,Male,White,Not Hispanic or Latinx,The Sleep of Endymion,8,2011,4,Art in the Age of the Romanticism,1791,1791,0,Oil on canvas,78,198.12,102,259.08,4.25,10.795,5.625,14.2875,9.25,23.495,3.5,8.89,51328.9296,154.2335625,208.87055,332.8,1,"The Louvre, Paris, France",,,,,
Annette Lemieux,18,American,Female,White,Not Hispanic or Latinx,Truth,4,1991,4,Twentieth-Century Photography,1989,1989,0,Latex and acrylic on canvas,84,213.36,133,337.82,3.125,7.9375,5,12.7,5,12.7,3.5,8.89,72077.2752,100.80625,112.903,715.008,1,"Josh Baer Gallery, New York, NY, US",,,,,
Annette Lemieux,18,American,Female,White,Not Hispanic or Latinx,Truth,5,1995,4,Post-Modernism,1989,1989,0,Latex and acrylic on canvas,84,213.36,133,337.82,3,7.62,4.875,12.3825,5.375,13.6525,3.5,8.89,72077.2752,94.35465,121.370725,763.8974359,1,"Josh Baer Gallery, New York, NY, US",,,,,
Ansel Adams,19,American,Male,White,Not Hispanic or Latinx,"Moonrise, Hernandez, New Mexico",3,1986,4,Twentieth-Century Photography,1941,1941,0,Photograph,,,,,5.5,13.97,6.75,17.145,3,7.62,3.5,8.89,0,239.51565,67.7418,0,0,"The Museum of Modern Art, New York, NY, US",,,,,
Ansel Adams,19,American,Male,White,Not Hispanic or Latinx,"Moonrise, Hernandez, New Mexico",4,1991,4,Twentieth-Century Photography,1941,1941,0,Gelatin-silver print,15,38.1,18.5,46.99,5.5,13.97,6.75,17.145,3,7.62,3.5,8.89,1790.319,239.51565,67.7418,7.474747475,0,"The Museum of Modern Art, New York, NY, US",,,,,
Ansel Adams,19,American,Male,White,Not Hispanic or Latinx,"Moonrise, Hernandez, New Mexico",5,1995,4,Twentieth-Century Photography,1941,1941,0,Gelatin-silver print,15,38.1,18.5,46.99,5.375,13.6525,6.75,17.145,3,7.62,3.5,8.89,1790.319,234.0721125,67.7418,7.648578811,0,"The Museum of Modern Art, New York, NY, US",,,,,
Ansel Adams,19,American,Male,White,Not Hispanic or Latinx,"Moonrise, Hernandez, New Mexico",6,2001,4,Twentieth-Century Photography,1941,1941,0,Gelatin-silver print,15,38.1,18.5,46.99,5.375,13.6525,6.625,16.8275,3,7.62,3.5,8.89,1790.319,229.7374438,67.7418,7.792891619,0,"The Museum of Modern Art, New York, NY, US",,,,,
Anselm Kiefer,20,German,Male,White,Not Hispanic or Latinx,To the Unknown Painter,3,1986,4,Twentieth-Century Painting and Sculpture,1983,1983,0,"Oil, emulsion, woodcut, shellac, latex, and straw on canvas",86,218.44,86,218.44,3.5,8.89,3.5,8.89,4.25,10.795,3.5,8.89,47716.0336,79.0321,95.96755,603.755102,0,"Carnegie Museum of Art, Pittsburgh, PA, US",,,,,
Anselm Kiefer,20,German,Male,White,Not Hispanic or Latinx,To the Unknown Painter,4,1991,4,Twentieth-Century Painting  ,1983,1983,0,"Oil, emulsion, woodcut, shellac, latex, and straw on canvas",110,279.4,110,279.4,4.375,11.1125,4.375,11.1125,4.25,10.795,3.5,8.89,78064.36,123.4876563,95.96755,632.1632653,1,"Carnegie Museum of Art, Pittsburgh, PA, US",,,,,
Anselm Kiefer,20,German,Male,White,Not Hispanic or Latinx,To the Unknown Painter,5,1995,4,Twentieth-Century Painting  ,1983,1983,0,"Oil, emulsion, woodcut, shellac, latex, and straw on canvas",110,279.4,110,279.4,6,15.24,6,15.24,4.25,10.795,3.5,8.89,78064.36,232.2576,95.96755,336.1111111,1,"The Carnegie Museum of Art, Pittsburgh, PA, US",,,,,
Anselm Kiefer,20,German,Male,White,Not Hispanic or Latinx,To the Unknown Painter,6,2001,4,Twentieth-Century Painting  ,1983,1983,0,"Oil, emulsion, woodcut, shellac, latex, and straw on canvas",110,279.4,110,279.4,3.5,8.89,3.5,8.89,4.25,10.795,3.5,8.89,78064.36,79.0321,95.96755,987.755102,1,"The Carnegie Museum of Art, Pittsburgh, PA, US",,,,,
Anselm Kiefer,20,German,Male,White,Not Hispanic or Latinx,To the Unknown Painter,7,2007,4,The Postmodern Era,1983,1983,0,"Oil, emulsions, woodcut, shellac, latex, and straw on canvas",110,279.4,108,274.32,4.5,11.43,4.375,11.1125,7,17.78,3.5,8.89,76645.008,127.015875,158.0642,603.4285714,1,"The Carnegie Museum of ARt, Pittsburgh, PA, US",,,,,
Anselm Kiefer,20,German,Male,White,Not Hispanic or Latinx,To the Unknown Painter,8,2011,4,The Postmodern Era,1983,1983,0,"Oil, emulsions, woodcut, shellac, latex, and straw on canvas",110,279.4,108,274.32,4.75,12.065,4.75,12.065,6.75,17.145,3.5,8.89,76645.008,145.564225,152.41905,526.5373961,1,"The Carnegie Museum of ARt, Pittsburgh, PA, US",,,,,
